City	Country	Latitude	Longitude	Year	population
Sofia	Bulgaria	42.7	23.33	1950	520001.241213
Mandalay	Myanmar	21.97	96.08	1950	170001.63798
Nay Pyi Taw	Myanmar	19.75	96.1	1950	1.94062937255
Yangon	Myanmar	16.87	96.12	1950	1300001.26337
Minsk	Belarus	53.89	27.57	1950	280001.317659
Phnum Pénh	Cambodia	11.56	104.91	1950	360001.13808
El Djazaïr	Algeria	36.78	3.05	1950	520001.101979
Wahran	Algeria	35.74	-0.52	1950	270001.033454
Douala	Cameroon	4.13	9.7	1950	100001.825257
Yaoundé	Cameroon	3.86	11.51	1950	30001.7891843
Calgary	Canada	51.03	-114.04	1950	130001.998876
Edmonton	Canada	53.55	-113.5	1950	160001.410391
Montréal	Canada	45.54	-73.65	1950	1340001.3041
Ottawa-Gatineau	Canada	45.37	-75.65	1950	280001.004993
Toronto	Canada	43.72	-79.41	1950	1070001.38151
Vancouver	Canada	49.27	-122.96	1950	560001.921419
N'Djaména	Chad	12.1	15.24	1950	20001.0424344
Santiago	Chile	-33.43	-70.65	1950	1320001.18005
Valparaíso	Chile	-33.02	-71.55	1950	330001.453101
Anshan, Liaoning	China	41.11	122.97	1950	480001.551107
Anshun	China	26.25	105.93	1950	190001.353054
Anyang	China	36.1	114.33	1950	110001.859619
Baoding	China	38.85	115.48	1950	180001.524819
Baotou	China	40.65	109.8	1950	530001.598375
Beijing	China	39.9	116.38	1950	4330001.99493
Bengbu	China	32.93	117.35	1950	230001.013613
Benxi	China	41.3	123.77	1950	410001.653868
Changchun	China	43.88	125.31	1950	760001.120784
Changde	China	29.03	111.68	1950	290001.340625
Changsha, Hunan	China	28.09	113.0	1950	620001.588959
Changzhou, Jiangsu	China	31.78	119.97	1950	110001.863481
Chengdu	China	30.67	104.07	1950	770001.370762
Chifeng	China	42.27	118.95	1950	130001.735227
Chongqing	China	29.54	106.52	1950	1680001.15767
Dalian	China	39.03	121.59	1950	680001.942433
Dandong	China	40.11	124.38	1950	240001.95597
Daqing	China	46.58	125.0	1950	260001.05789
Datong, Shanxi	China	40.06	113.28	1950	620001.798957
Dongguan, Guangdong	China	23.03	113.71	1950	380001.337761
Foshan	China	23.03	113.71	1950	90001.2303467
Fushun, Liaoning	China	41.85	123.9	1950	630001.401096
Fuxin	China	42.01	121.65	1950	170001.865697
Fuyang	China	30.05	119.94	1950	50001.2587503
Fuzhou, Fujian	China	26.07	119.3	1950	490001.034922
Guangzhou, Guangdong	China	23.09	113.29	1950	1490001.85685
Guilin	China	25.27	110.29	1950	150001.726946
Guiyang	China	26.57	106.7	1950	680001.060429
Haerbin	China	45.75	126.62	1950	1010001.53223
Handan	China	36.6	114.48	1950	380001.672644
Hangzhou	China	30.25	120.16	1950	640001.522552
Hefei	China	31.86	117.27	1950	260001.019521
Hengyang	China	26.9	112.6	1950	170001.191789
Heze	China	35.23	115.43	1950	380001.435919
Hohhot	China	40.81	111.64	1950	320001.026056
Huai'an	China	33.5	119.13	1950	830001.172826
Huaibei	China	34.15	116.65	1950	210001.20776
Huainan	China	32.61	116.98	1950	500001.520714
Huzhou	China	30.86	120.1	1950	680001.688418
Jiamusi	China	46.83	130.35	1950	220001.180228
Jiaozuo	China	35.24	113.22	1950	210001.635976
Jiaxing	China	30.76	120.75	1950	450001.431584
Jilin	China	43.85	126.56	1950	400001.634237
Jinan, Shandong	China	36.65	116.96	1950	600001.268797
Jining, Shandong	China	35.4	116.56	1950	260001.446341
Jinxi, Liaoning	China	41.11	122.05	1950	230001.823819
Jinzhou	China	41.1	121.13	1950	330001.90002
Jixi, Heilongjiang	China	45.3	130.96	1950	180001.081755
Kaifeng	China	34.79	114.34	1950	350001.624838
Kaohsiung	China	22.6	120.28	1950	260001.255447
Kunming	China	25.05	102.7	1950	640001.192623
Langfang	China	39.51	116.7	1950	60001.0945885
Lanzhou	China	36.11	103.59	1950	350001.220775
Leshan	China	29.58	103.75	1950	600001.134292
Lianyungang	China	41.26	119.16	1950	120001.663715
Liaoyang	China	41.26	123.17	1950	110001.004328
Linfen	China	36.08	111.51	1950	100001.72463
Linyi, Shandong	China	35.05	118.31	1950	410001.420065
Liuan	China	31.73	116.46	1950	860001.216815
Liupanshui	China	26.59	104.83	1950	400001.039649
Liuzhou	China	24.31	109.38	1950	140001.365947
Luoyang	China	34.67	112.36	1950	390001.978775
Luzhou	China	28.88	105.43	1950	90001.5003932
Mianyang, Sichuan	China	31.46	104.75	1950	480001.919241
Mudanjiang	China	44.58	129.59	1950	210001.61141
Nanchang	China	28.67	115.88	1950	340001.531696
Nanchong	China	28.68	115.88	1950	110001.574792
Nanjing, Jiangsu	China	32.04	118.76	1950	970001.778073
Nanning	China	22.83	108.29	1950	170001.107082
Nantong	China	32.0	120.83	1950	180001.291743
Nanyang, Henan	China	33.0	112.53	1950	80001.9232379
Neijiang	China	29.58	105.06	1950	140001.346792
Ningbo	China	29.86	121.55	1950	470001.954293
Pingdingshan, Henan	China	33.73	113.3	1950	160001.350956
Pingxiang, Jiangxi	China	27.63	113.85	1950	170001.181838
Qingdao	China	36.14	120.43	1950	890001.377373
Qinhuangdao	China	39.93	119.6	1950	150001.373783
Qiqihaer	China	47.34	123.96	1950	720001.403999
Quanzhou	China	24.91	118.58	1950	220001.652274
Shanghai	China	31.24	121.47	1950	6070001.9232
Shangqiu	China	34.41	115.63	1950	60001.5277154
Shantou	China	23.36	116.7	1950	320001.551449
Shaoxing	China	30.0	120.58	1950	60001.2868595
Shenyang	China	41.8	123.38	1950	2090001.07134
Shenzhen	China	22.55	114.1	1950	170001.297584
Shijiazhuang	China	38.07	114.55	1950	340001.544557
